group,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,PD
32_S1,108,108,0,108,4.826623695,2.688426229,0.829689505,5.871628744,15.62093642,31.01299036
32_S1,99,99,0,99,4.69041576,2.017874411,0.704669532,3.386037364,13.58799244,17.85468185
32_S1,142,142,0,142,5.936874504,3.263482352,0.915544956,11.84061895,22.67458868,41.12024209
32_S1,74,74,0,74,4.199420809,1.757537567,0.695462323,3.28366595,9.753139888,23.16843848
32_S1,59,59,0,59,2.881854394,2.976673251,0.909248459,11.01909663,8.215953746,7.112742761
32_S1,93,93,0,93,4.467324619,2.853669127,0.873424867,7.900445969,13.69688721,18.66779519
32_S1,98,98,0,98,4.062019202,3.292377905,0.923815005,13.12594436,14.36723048,15.08760625
32_S1,106,106,0,106,4.637826426,2.984726267,0.902862731,10.29470981,16.03598575,19.9099291
32_S1,113,113,0,113,5.137059522,2.800521298,0.861182704,7.203713293,17.25501435,24.47629966
32_S1,136,136,0,136,5.645794895,3.105102511,0.880099237,8.340230507,20.76513615,31.4558269
32_S1,115,115,0,115,5.212026227,2.989094699,0.902630153,10.27011989,17.40804297,34.6497206
32_S1,141,141,0,141,5.729109445,3.199149878,0.898208086,9.823962988,21.33559463,41.02146849
32_S1,125,125,0,125,4.928285706,3.47934782,0.937896188,16.10207128,18.78744653,24.66205225
32_S1,121,121,0,121,5.399724511,2.704675101,0.84029847,6.261680778,18.51482407,26.97223121
32_S1,114,114,0,114,5.123903391,3.132184552,0.903613838,10.37493328,17.34024413,22.61203031
32_S2,93,93,0,93,4.32795365,2.898921318,0.884344077,8.646336227,13.62218305,21.15830786
32_S2,91,91,0,91,4.258153136,3.114895017,0.907853283,10.85225857,13.29099723,19.05575905
32_S2,57,57,0,57,3.641861872,2.775100795,0.880711847,8.383062117,9.301838789,15.70214151
32_S2,53,53,0,53,3.342126766,2.428192313,0.858831377,7.083727102,7.372056289,15.00573887
32_S2,84,84,0,84,4.140393356,2.963854293,0.898370341,9.839647269,12.40243122,15.05414483
32_S2,108,108,0,108,4.701260666,3.172706045,0.905999734,10.63826777,15.91976575,27.89082169
32_S2,53,53,0,53,3.342126766,2.228898754,0.839014248,6.211729826,7.000814755,14.70174804
32_S2,89,89,0,89,4.18665617,2.876128842,0.888498945,8.968525022,12.4034289,21.56638656
32_S2,95,95,0,95,4.175114244,3.00926138,0.903749859,10.38959522,13.41515297,17.30643317
32_S2,88,88,0,88,4.062019202,2.752219679,0.861743642,7.232940403,12.47980826,22.7052765
32_S2,71,71,0,71,3.985890609,2.475880743,0.860728404,7.180214965,9.725997148,20.35631577
32_S2,102,102,0,102,4.401425794,3.152509352,0.917953806,12.18825581,14.76808699,16.15504008
32_S2,100,100,0,100,4.208325083,3.036257119,0.883970221,8.618477153,14.86138219,14.20798866
32_S2,86,86,0,86,3.847379054,2.721258311,0.870981215,7.750809329,12.2141519,11.31469191
32_S2,105,105,0,105,4.238148742,3.582245384,0.937105803,15.89971809,16.05573462,15.62930443
32_S3,248,248,0,248,7.77091351,4.355593153,0.970392683,33.77543462,44.0319035,88.7332495
32_S3,412,412,0,412,10.04782254,5.06338751,0.986580696,74.51951274,86.48059041,153.1260836
32_S3,98,98,0,98,4.82341229,2.769162622,0.883425663,8.578217345,14.88779427,30.45246035
32_S3,111,111,0,111,4.628544417,3.020790999,0.900507339,10.0509926,16.49766233,21.14740552
32_S3,143,143,0,143,5.971962463,2.739766672,0.847756191,6.568411592,22.8592121,52.22241153
32_S3,276,276,0,276,8.301169815,4.778094755,0.985799968,70.42237653,53.54685829,100.7962916
32_S3,90,90,0,90,4.742245132,2.205040388,0.815921309,5.432459331,12.82625414,35.03900671
32_S3,133,133,0,133,5.585965227,3.001533489,0.894999275,9.523743795,20.09818524,38.3820911
32_S3,75,75,0,75,3.993327768,2.599426361,0.853204536,6.812199591,11.13688361,15.38334167
32_S3,84,84,0,84,4.498677054,2.527523481,0.863541072,7.328212318,12.16585622,16.47038371
32_S3,96,96,0,96,3.979112129,3.193000336,0.912225531,11.3928345,14.8901343,16.17000717
32_S3,126,126,0,126,5.027701043,3.255884022,0.918813764,12.31735877,18.79203707,30.67180662
32_S3,106,106,0,106,5.146898682,2.487011598,0.856764735,6.981520904,15.5699419,42.01114597
32_S3,90,90,0,90,4.647580015,2.558274829,0.874966285,7.997842823,12.54044124,25.38838643
32_S3,59,59,0,59,3.536732189,2.303403948,0.856904473,6.988338614,7.87989971,13.49454042
32_S4,90,90,0,90,4.299870799,2.602114813,0.859703193,7.127745954,12.82208771,15.06994109
32_S4,115,115,0,115,4.893651611,2.937200199,0.886629812,8.820661006,17.01729789,31.18858304
32_S4,114,114,0,114,4.284816113,3.086079422,0.892173496,9.274157702,16.73371467,20.87408438
32_S4,108,108,0,108,4.254627111,3.305213658,0.926438748,13.59411339,16.54573433,13.40577142
32_S4,429,429,0,429,10.05323824,4.493103595,0.970406097,33.79074392,68.17863641,112.9942782
32_S4,83,83,0,83,3.960649819,2.973453266,0.910402818,11.16106533,12.14616865,11.70029179
32_S4,269,269,0,269,8.159196695,4.860588648,0.985910239,70.97352252,59.60286398,118.2885569
32_S4,490,490,0,490,11.027239,5.334945617,0.988641228,88.03768716,105.1670098,181.6448381
32_S4,185,185,0,185,5.790952869,4.211085384,0.973757895,38.10669887,29.17513318,33.60334098
32_S4,131,131,0,131,4.751857813,3.342727685,0.914498156,11.69565414,19.64344617,25.5887808
32_S4,155,155,0,155,5.307329077,3.639834112,0.940456005,16.79430471,24.18196331,25.08336216
32_S4,174,174,0,174,5.733547176,4.058796097,0.965554825,29.03164196,27.56777807,28.51168247
32_S4,166,166,0,166,5.309686534,4.002827788,0.965988231,29.40158723,25.50289569,32.22973943
32_S4,152,152,0,152,5.552974547,3.804621146,0.950576721,20.2333803,23.60752115,36.94593886
